"","year","location","name","predicted.value","std.error","status"
"1","2018","bh","25r34",6.61000134992821,0.201564144863893,"Estimable"
"2","2018","bh","25r39",6.26428514539366,0.196965361727991,"Estimable"
"3","2018","bh","25r40",6.64985461158009,0.191613288415794,"Estimable"
"4","2018","bh","25r46",5.80549794111998,0.222187257625114,"Estimable"
"5","2018","bh","25r47",6.07545618961176,0.196708924502661,"Estimable"
"6","2018","bh","25r51",5.88544952716886,0.204389849015137,"Estimable"
"7","2018","bh","25r56",6.17855603900259,0.204389849015137,"Estimable"
"8","2018","bh","25r61",6.29197769250213,0.265587604279839,"Estimable"
"9","2018","bh","25r74",6.69710662832597,0.265587604279839,"Estimable"
"10","2018","bh","25w31",6.02490027066765,0.225976358216983,"Estimable"
"11","2018","bh","25w36",5.99451031451501,0.229136903213928,"Estimable"
"12","2018","bh","25w41",6.06173446293405,0.251558123223113,"Estimable"
"13","2018","bh","25w43",5.89875311348025,0.202845003847838,"Estimable"
"14","2018","bh","ac_mackinnon",5.87745690116691,0.192058430174797,"Estimable"
"15","2018","bh","ac_morley",5.82966358002191,0.169492123448231,"Estimable"
"16","2018","bh","ac_mountain",5.88378066535885,0.222696232094997,"Estimable"
"17","2018","bh","ac_sampson",5.7059100293019,0.176013678809556,"Estimable"
"18","2018","bh","adv_dyno",5.70280631284049,0.222696232094997,"Estimable"
"19","2018","bh","arnold",5.22627202504786,0.265587604279839,"Estimable"
"20","2018","bh","ashley",5.65380564069952,0.246284207870718,"Estimable"
"21","2018","bh","ava",6.28322420708298,0.16974363672288,"Estimable"
"22","2018","bh","b654srw",6.43735295860701,0.286156481088034,"Estimable"
"23","2018","bh","b743srw",5.69022918287091,0.286156481088034,"Estimable"
"24","2018","bh","becher",6.07873866876636,0.204996118391104,"Estimable"
"25","2018","bh","benefit",5.80191370909851,0.204597132837342,"Estimable"
"26","2018","bh","branson",6.40688046617578,0.169372562682903,"Estimable"
"27","2018","bh","brome",4.9309564736138,0.387787894105645,"Estimable"
"28","2018","bh","brooklyn",6.14982668549684,0.189386545145712,"Estimable"
"29","2018","bh","carlisle",5.590870233408,0.225705920383097,"Estimable"
"30","2018","bh","carnaval",6.29366127093095,0.431588372025349,"Estimable"
"31","2018","bh","cm614",6.34977376043895,0.176235814979117,"Estimable"
"32","2018","bh","cruze",6.27229814292654,0.218773035347163,"Estimable"
"33","2018","bh","curtis",5.45949464081811,0.36553261477328,"Estimable"
"34","2018","bh","d8006w",6.02640903975492,0.204996118391104,"Estimable"
"35","2018","bh","drew",5.88129891535486,0.220611969436643,"Estimable"
"36","2018","bh","ds572srw",6.48527334107346,0.208022346063946,"Estimable"
"37","2018","bh","ds654srw",6.7576599699407,0.273905686732652,"Estimable"
"38","2018","bh","ds743srw",6.60859036835904,0.273905686732652,"Estimable"
"39","2018","bh","e0028w",6.1242759223958,0.177763204770508,"Estimable"
"40","2018","bh","e1007r",6.08535296119577,0.193017763584929,"Estimable"
"41","2018","bh","e1009w",5.92145663827859,0.193017763584929,"Estimable"
"42","2018","bh","emmit",6.27091917880243,0.174528293595735,"Estimable"
"43","2018","bh","emperor",6.16824470507017,0.183824022859386,"Estimable"
"44","2018","bh","frontenac",6.44015303468174,0.258908293526989,"Estimable"
"45","2018","bh","ft_wonder",5.67773271474943,0.2198769977257,"Estimable"
"46","2018","bh","fthp_redeemer",5.07415476595161,0.246284207870718,"Estimable"
"47","2018","bh","gallus",6.06698550274416,0.180180661008512,"Estimable"
"48","2018","bh","harvard",5.68911711498451,0.206826636141482,"Estimable"
"49","2018","bh","huntley",5.90329248045884,0.196708924502661,"Estimable"
"50","2018","bh","hy_116-srw",6.1541341441644,0.186338021596588,"Estimable"
"51","2018","bh","hy_271-srw",5.91647950474513,0.228161496548048,"Estimable"
"52","2018","bh","hy_300-hrw",5.75590720830197,0.22405939155674,"Estimable"
"53","2018","bh","hy_301-hrw",5.91592740274666,0.20025975555761,"Estimable"
"54","2018","bh","hy_412-srw",6.23091379260198,0.195236217115017,"Estimable"
"55","2018","bh","jdc78",6.21770266161329,0.220611969436643,"Estimable"
"56","2018","bh","keldin",5.88187815029541,0.188277097160221,"Estimable"
"57","2018","bh","laurel",5.88978721085141,0.246659446470671,"Estimable"
"58","2018","bh","lexington",5.77049746447412,0.285299546099819,"Estimable"
"59","2018","bh","marker",6.42900158223846,0.189971766788226,"Estimable"
"60","2018","bh","maxine",5.38696184575578,0.225705920383097,"Estimable"
"61","2018","bh","measure",5.95183642268659,0.240870481562686,"Estimable"
"62","2018","bh","ninja",5.7724519846896,0.275780200916248,"Estimable"
"63","2018","bh","oac_amber",4.31686056875505,0.211471962970596,"Estimable"
"64","2018","bh","oac_emmy",5.85121837052561,0.274201273378121,"Estimable"
"65","2018","bh","oac_flight",5.91975913364726,0.192604490846418,"Estimable"
"66","2018","bh","oac_snow",5.39590959961199,0.252447501865868,"Estimable"
"67","2018","bh","otf013-081",5.54564897232159,0.2198769977257,"Estimable"
"68","2018","bh","palmer",5.88430635564388,0.246659446470671,"Estimable"
"69","2018","bh","ph55",6.11172842026302,0.18415477603076,"Estimable"
"70","2018","bh","priesley",6.35118349370493,0.173586466802032,"Estimable"
"71","2018","bh","princeton",5.97591149758941,0.172476327540698,"Estimable"
"72","2018","bh","r045",6.18877687953486,0.182721852061879,"Estimable"
"73","2018","bh","secord",6.34476113011106,0.180807435905467,"Estimable"
"74","2018","bh","stanford",5.38016098523208,0.206826636141482,"Estimable"
"75","2018","bh","superior",5.97956903452339,0.198744454055399,"Estimable"
