"","environment","bloc","location","year","name","zone","maturity","height","lodging","seedwt_1000","yield_kgha"
"63","AVONLEA_2019","2","AVONLEA","2019","FP2592","2",94,65,1,6.65,19.2324982916484
"64","AVONLEA_2019","1","AVONLEA","2019","FP2590","2",92,58,1,6.61,19.100530049011
"65","AVONLEA_2019","2","AVONLEA","2019","CDC Rowland","2",89,63,1,6.55,17.9894382389011
"66","AVONLEA_2019","1","AVONLEA","2019","FP2567","2",93,64,1,6.62,17.8950205753846
"67","AVONLEA_2019","1","AVONLEA","2019","FP2595","2",94,59,1,6.24,17.6020686769231
"68","AVONLEA_2019","3","AVONLEA","2019","FP2595","2",92,65,1,5.96,17.5680000450549
"69","AVONLEA_2019","3","AVONLEA","2019","FP2592","2",94,65,1,6.79,17.4908182646154
"70","AVONLEA_2019","2","AVONLEA","2019","AAC Prairie Sunshine","2",94,63,1,5.54,17.2880077784615
"71","AVONLEA_2019","1","AVONLEA","2019","FP2589","2",92,60,1,6.74,16.9772334865934
"72","AVONLEA_2019","1","AVONLEA","2019","CDC Buryu","2",91,60,1,6,16.3357887241758
"73","AVONLEA_2019","1","AVONLEA","2019","FP2591","2",89,63,1,6.29,16.3078031225275
"74","AVONLEA_2019","1","AVONLEA","2019","AAC Prairie Sunshine","2",92,62,1,5.22,16.1744048641758
"75","AVONLEA_2019","3","AVONLEA","2019","CDC Rowland","2",92,60,1,6.66,16.0893598896703
"76","AVONLEA_2019","1","AVONLEA","2019","AAC Marvelous","2",95,66,1,6,16.0857539010989
"77","AVONLEA_2019","2","AVONLEA","2019","FP2595","2",89,63,1,5.81,16.007838006044
"78","AVONLEA_2019","1","AVONLEA","2019","CDC Dorado","2",87,55,1,6.08,15.7543073176923
"79","AVONLEA_2019","3","AVONLEA","2019","FP2594","2",89,67,1,6.14,15.6949526920879
"80","AVONLEA_2019","1","AVONLEA","2019","AAC Bright","2",94,56,1,6.05,15.5825778501099
"81","AVONLEA_2019","2","AVONLEA","2019","CDC Glas","2",89,61,1,5.18,15.3719149136264
"82","AVONLEA_2019","2","AVONLEA","2019","AAC Marvelous","2",92,64,1,5.65,15.367477018022
"83","AVONLEA_2019","2","AVONLEA","2019","FP2573","2",88,64,1,5.97,15.1592146961538
"84","AVONLEA_2019","1","AVONLEA","2019","Topaz","2",87,64,1,5.4,15.0711028732967
"85","AVONLEA_2019","1","AVONLEA","2019","FP2566","2",87,62,1,5.73,15.0643351740659
"86","AVONLEA_2019","1","AVONLEA","2019","FP2594","2",93,63,1,5.99,15.0598149912088
"87","AVONLEA_2019","1","AVONLEA","2019","CDC Glas","2",95,58,1,5.71,14.9032035476923
"88","AVONLEA_2019","2","AVONLEA","2019","FP2593","2",94,60,1,6.81,14.8457954917582
"89","AVONLEA_2019","3","AVONLEA","2019","CDC Bethune","2",87,59,1,5.66,14.71995008
"90","AVONLEA_2019","3","AVONLEA","2019","FP2567","2",88,63,1,6.12,14.5564445762637
"91","AVONLEA_2019","3","AVONLEA","2019","ND Hammond","2",95,68,1,5.53,14.5327717301099
"92","AVONLEA_2019","1","AVONLEA","2019","CDC Bethune","2",91,54,1,5.91,14.4756687718681
"93","AVONLEA_2019","1","AVONLEA","2019","ND Hammond","2",94,62,1,5.42,14.2173034021978
"94","AVONLEA_2019","3","AVONLEA","2019","CDC Glas","2",89,60,1,5.4,14.1570964808791
"95","AVONLEA_2019","1","AVONLEA","2019","FP2592","2",94,67,1,6.68,13.7857311791209
"96","AVONLEA_2019","3","AVONLEA","2019","AAC Bright","2",93,59,1,5.85,13.2747163516483
"97","AVONLEA_2019","2","AVONLEA","2019","FP2567","2",94,67,1,6.11,13.2406538241758
"98","AVONLEA_2019","3","AVONLEA","2019","FP2591","2",93,61,1,6.4,13.0689239903297
"99","AVONLEA_2019","1","AVONLEA","2019","FP2573","2",94,59,1,6.26,13.0605527884615
"100","AVONLEA_2019","2","AVONLEA","2019","FP2589","2",88,64,1,6.31,12.8995392210989
"101","AVONLEA_2019","3","AVONLEA","2019","FP2573","2",89,63,1,5.93,12.5025225164835
"102","AVONLEA_2019","3","AVONLEA","2019","Topaz","2",94,54,1,6.03,12.4549253230769
"103","AVONLEA_2019","2","AVONLEA","2019","Topaz","2",88,57,1,5.71,12.3659793956044
"104","AVONLEA_2019","3","AVONLEA","2019","FP2590","2",88,64,1,5.98,12.2444692035165
"105","AVONLEA_2019","2","AVONLEA","2019","FP2566","2",94,58,1,5.94,11.6193859305494
"106","AVONLEA_2019","3","AVONLEA","2019","CDC Dorado","2",87,56,1,5.95,11.2238621169231
"107","AVONLEA_2019","3","AVONLEA","2019","AAC Marvelous","2",89,64,1,5.65,11.1219316516484
"108","AVONLEA_2019","3","AVONLEA","2019","AAC Prairie Sunshine","2",89,59,1,5.23,10.9447643884615
"109","AVONLEA_2019","3","AVONLEA","2019","FP2566","2",88,59,1,5.9,10.8092101796703
"110","AVONLEA_2019","3","AVONLEA","2019","FP2589","2",89,63,1,6.53,10.4463856598901
"111","AVONLEA_2019","2","AVONLEA","2019","ND Hammond","2",96,63,1,5.64,10.4008235498901
"112","AVONLEA_2019","2","AVONLEA","2019","CDC Dorado","2",87,55,1,5.78,10.344459956044
"113","AVONLEA_2019","2","AVONLEA","2019","CDC Buryu","2",87,63,1,5.35,10.2477937994505
"114","AVONLEA_2019","2","AVONLEA","2019","FP2591","2",88,63,1,6.01,10.046541032967
"115","AVONLEA_2019","2","AVONLEA","2019","AAC Bright","2",93,54,1,5.86,NA
"116","AVONLEA_2019","2","AVONLEA","2019","CDC Bethune","2",85,56,1,5.39,NA
"117","AVONLEA_2019","3","AVONLEA","2019","CDC Buryu","2",87,59,1,5.65,NA
"118","CODETTE_2019","3","CODETTE","2019","FP2590","3",115,77.5,NA,6.83,27.2614125
"119","CODETTE_2019","2","CODETTE","2019","FP2593","3",113,73,NA,7.27,25.472685
"120","CODETTE_2019","2","CODETTE","2019","FP2590","3",114,75,NA,6.85,25.0873875
"121","CODETTE_2019","3","CODETTE","2019","FP2595","3",116,78.5,NA,6.51,24.77671
"122","CODETTE_2019","2","CODETTE","2019","FP2594","3",113,74.5,NA,6.57,23.96163
"123","CODETTE_2019","2","CODETTE","2019","AAC Prairie Sunshine","3",114,72.5,NA,5.88,23.9192975
"124","CODETTE_2019","3","CODETTE","2019","FP2592","3",113,75.5,NA,6.9,23.84733225
"125","CODETTE_2019","3","CODETTE","2019","FP2593","3",115,85.5,NA,7.18,23.424366
"126","CODETTE_2019","1","CODETTE","2019","FP2589","3",113,78.5,NA,7.06,23.196201
"127","CODETTE_2019","2","CODETTE","2019","FP2573","3",108,70.5,NA,6.57,22.957991
"128","CODETTE_2019","3","CODETTE","2019","FP2591","3",115,80.5,NA,6.81,21.8018115
"129","CODETTE_2019","2","CODETTE","2019","FP2591","3",115,73,NA,6.74,21.34440525
"130","CODETTE_2019","2","CODETTE","2019","FP2589","3",113,76.5,NA,7.23,21.22257375
"131","CODETTE_2019","1","CODETTE","2019","FP2573","3",108,77.5,NA,6.36,20.97934125
"132","CODETTE_2019","2","CODETTE","2019","CDC Rowland","3",114,70,NA,7.16,20.6595515
"133","CODETTE_2019","3","CODETTE","2019","FP2567","3",114,85,NA,7.05,20.58399875
"134","CODETTE_2019","2","CODETTE","2019","AAC Marvelous","3",114,69,NA,6.4,20.303528
"135","CODETTE_2019","2","CODETTE","2019","FP2567","3",115,73.5,NA,7.11,20.25072
"136","CODETTE_2019","1","CODETTE","2019","FP2593","3",115,76,NA,7.1,19.933298
"137","CODETTE_2019","1","CODETTE","2019","AAC Marvelous","3",109,75,NA,6.33,19.816776
