"","bloc","location","year","name","zone","maturity","height","lodging","seedwt_1000","yield_kgha","environment"
"39",2,"ARBORG","2019","FP2594","3",107,43,1,5.72,21.3284452008791,"ARBORG_2019"
"40",3,"ARBORG","2019","ND Hammond","3",107,49.5,1,4.75,20.7829891252747,"ARBORG_2019"
"41",1,"ARBORG","2019","FP2595","3",106,43,1,5.37,20.7829515481319,"ARBORG_2019"
"42",2,"ARBORG","2019","FP2590","3",108,36.5,1,5.95,20.7717615085714,"ARBORG_2019"
"43",3,"ARBORG","2019","Topaz","3",106,45,1,5.3,20.7691467657143,"ARBORG_2019"
"44",2,"ARBORG","2019","CDC Bethune","3",106,50,1,5.48,20.7531142127473,"ARBORG_2019"
"45",3,"ARBORG","2019","CDC Glas","3",107,44,1,5,20.671028269011,"ARBORG_2019"
"46",3,"ARBORG","2019","AAC Bright","3",110,46.5,1,5.58,20.571890130989,"ARBORG_2019"
"47",3,"ARBORG","2019","CDC Bethune","3",106,47,1,5.46,20.5697277591209,"ARBORG_2019"
"48",2,"ARBORG","2019","AAC Bright","3",107,46.5,1,5.42,20.4940225828571,"ARBORG_2019"
"49",2,"ARBORG","2019","ND Hammond","3",106,44.5,1,4.97,19.8762266531868,"ARBORG_2019"
"50",1,"ARBORG","2019","FP2566","3",106,41.5,1,5.54,19.8384633107692,"ARBORG_2019"
"51",1,"ARBORG","2019","CDC Glas","3",112,46,1,4.95,19.7947371261538,"ARBORG_2019"
"52",1,"ARBORG","2019","AAC Prairie Sunshine","3",111,45.5,1,4.91,19.63172736,"ARBORG_2019"
"53",1,"ARBORG","2019","ND Hammond","3",113,42.5,1,4.84,19.3574493854945,"ARBORG_2019"
"54",1,"ARBORG","2019","Topaz","3",106,44,1,5.39,19.1181974030769,"ARBORG_2019"
"55",1,"ARBORG","2019","AAC Bright","3",106,43.5,1,5.26,18.8048791859341,"ARBORG_2019"
"56",2,"ARBORG","2019","CDC Dorado","3",106,44,1,5.44,18.5398507494506,"ARBORG_2019"
"57",1,"ARBORG","2019","CDC Bethune","3",106,43.5,1,5.27,18.1342232967033,"ARBORG_2019"
"58",3,"ARBORG","2019","AAC Marvelous","3",NA,NA,NA,NA,NA,"ARBORG_2019"
"59",2,"ARBORG","2019","AAC Prairie Sunshine","3",NA,NA,NA,NA,NA,"ARBORG_2019"
"60",3,"ARBORG","2019","FP2592","3",NA,NA,NA,NA,NA,"ARBORG_2019"
"61",1,"AVONLEA","2019","FP2593","2",94,59,1,7.21,19.6687955610989,"AVONLEA_2019"
"62",2,"AVONLEA","2019","FP2590","2",94,58,1,6.56,19.5953565076923,"AVONLEA_2019"
"63",2,"AVONLEA","2019","FP2594","2",96,61,1,6.81,19.5174121661538,"AVONLEA_2019"
"64",3,"AVONLEA","2019","FP2593","2",93,62,1,6.83,19.276490229011,"AVONLEA_2019"
"65",1,"AVONLEA","2019","CDC Rowland","2",89,59,1,6.79,19.2597282912088,"AVONLEA_2019"
"66",2,"AVONLEA","2019","FP2592","2",94,65,1,6.65,19.2324982916484,"AVONLEA_2019"
"67",1,"AVONLEA","2019","FP2590","2",92,58,1,6.61,19.100530049011,"AVONLEA_2019"
"68",2,"AVONLEA","2019","CDC Rowland","2",89,63,1,6.55,17.9894382389011,"AVONLEA_2019"
"69",1,"AVONLEA","2019","FP2567","2",93,64,1,6.62,17.8950205753846,"AVONLEA_2019"
"70",1,"AVONLEA","2019","FP2595","2",94,59,1,6.24,17.6020686769231,"AVONLEA_2019"
"71",3,"AVONLEA","2019","FP2595","2",92,65,1,5.96,17.5680000450549,"AVONLEA_2019"
"72",3,"AVONLEA","2019","FP2592","2",94,65,1,6.79,17.4908182646154,"AVONLEA_2019"
"73",2,"AVONLEA","2019","AAC Prairie Sunshine","2",94,63,1,5.54,17.2880077784615,"AVONLEA_2019"
"74",1,"AVONLEA","2019","FP2589","2",92,60,1,6.74,16.9772334865934,"AVONLEA_2019"
"75",1,"AVONLEA","2019","CDC Buryu","2",91,60,1,6,16.3357887241758,"AVONLEA_2019"
"76",1,"AVONLEA","2019","FP2591","2",89,63,1,6.29,16.3078031225275,"AVONLEA_2019"
"77",1,"AVONLEA","2019","AAC Prairie Sunshine","2",92,62,1,5.22,16.1744048641758,"AVONLEA_2019"
"78",3,"AVONLEA","2019","CDC Rowland","2",92,60,1,6.66,16.0893598896703,"AVONLEA_2019"
"79",1,"AVONLEA","2019","AAC Marvelous","2",95,66,1,6,16.0857539010989,"AVONLEA_2019"
"80",2,"AVONLEA","2019","FP2595","2",89,63,1,5.81,16.007838006044,"AVONLEA_2019"
"81",1,"AVONLEA","2019","CDC Dorado","2",87,55,1,6.08,15.7543073176923,"AVONLEA_2019"
"82",3,"AVONLEA","2019","FP2594","2",89,67,1,6.14,15.6949526920879,"AVONLEA_2019"
"83",1,"AVONLEA","2019","AAC Bright","2",94,56,1,6.05,15.5825778501099,"AVONLEA_2019"
"84",2,"AVONLEA","2019","CDC Glas","2",89,61,1,5.18,15.3719149136264,"AVONLEA_2019"
"85",2,"AVONLEA","2019","AAC Marvelous","2",92,64,1,5.65,15.367477018022,"AVONLEA_2019"
"86",2,"AVONLEA","2019","FP2573","2",88,64,1,5.97,15.1592146961538,"AVONLEA_2019"
"87",1,"AVONLEA","2019","Topaz","2",87,64,1,5.4,15.0711028732967,"AVONLEA_2019"
"88",1,"AVONLEA","2019","FP2566","2",87,62,1,5.73,15.0643351740659,"AVONLEA_2019"
"89",1,"AVONLEA","2019","FP2594","2",93,63,1,5.99,15.0598149912088,"AVONLEA_2019"
"90",1,"AVONLEA","2019","CDC Glas","2",95,58,1,5.71,14.9032035476923,"AVONLEA_2019"
"91",2,"AVONLEA","2019","FP2593","2",94,60,1,6.81,14.8457954917582,"AVONLEA_2019"
"92",3,"AVONLEA","2019","CDC Bethune","2",87,59,1,5.66,14.71995008,"AVONLEA_2019"
"93",3,"AVONLEA","2019","FP2567","2",88,63,1,6.12,14.5564445762637,"AVONLEA_2019"
"94",3,"AVONLEA","2019","ND Hammond","2",95,68,1,5.53,14.5327717301099,"AVONLEA_2019"
"95",1,"AVONLEA","2019","CDC Bethune","2",91,54,1,5.91,14.4756687718681,"AVONLEA_2019"
"96",1,"AVONLEA","2019","ND Hammond","2",94,62,1,5.42,14.2173034021978,"AVONLEA_2019"
"97",3,"AVONLEA","2019","CDC Glas","2",89,60,1,5.4,14.1570964808791,"AVONLEA_2019"
"98",1,"AVONLEA","2019","FP2592","2",94,67,1,6.68,13.7857311791209,"AVONLEA_2019"
"99",3,"AVONLEA","2019","AAC Bright","2",93,59,1,5.85,13.2747163516483,"AVONLEA_2019"
"100",2,"AVONLEA","2019","FP2567","2",94,67,1,6.11,13.2406538241758,"AVONLEA_2019"
"101",3,"AVONLEA","2019","FP2591","2",93,61,1,6.4,13.0689239903297,"AVONLEA_2019"
"102",1,"AVONLEA","2019","FP2573","2",94,59,1,6.26,13.0605527884615,"AVONLEA_2019"
"103",2,"AVONLEA","2019","FP2589","2",88,64,1,6.31,12.8995392210989,"AVONLEA_2019"
"104",3,"AVONLEA","2019","FP2573","2",89,63,1,5.93,12.5025225164835,"AVONLEA_2019"
"105",3,"AVONLEA","2019","Topaz","2",94,54,1,6.03,12.4549253230769,"AVONLEA_2019"
"106",2,"AVONLEA","2019","Topaz","2",88,57,1,5.71,12.3659793956044,"AVONLEA_2019"
